compare_address,collider_b_fourcc_hex,collider_b_fourcc,handler_address
00018238,626F6E75,bonu,000185D4
0001824C,62617365,base,00018E24
00018260,61737465,aste,000183AC
00018274,616D6D6F,ammo,00018658
00018288,626C6F6F,bloo,00018814
0001829C,62656521,bee!,00018C30
000182B0,67616467,gadg,000185D4
000182C4,66697265,fire,0001904C
000182D8,65717569,equi,000185D4
000182EC,6D696E65,mine,00019144
00018300,726F746F,roto,00018C30
00018314,72616964,raid,00018A6C
00018328,6F736369,osci,00018658
0001833C,6D6F746F,moto,00018814
00018350,726F636B,rock,000183AC
00018364,73776172,swar,00018814
00018378,73746F6E,ston,000183AC
0001838C,7365656B,seek,00018A6C
000183A0,76656C6F,velo,00018658
