start,end,size,internal_calls,imports
00000000,0000001C,28,,
0000001C,0000006C,80,0000006C 00003C48 000002D4 00000880 00001AFC,HideCursor ShowCursor FlushEvents
0000006C,000002D4,616,0000DD08 0000DCD0 0000DCD0 0000DCD0 0000DCD0 00001614 000026E4 00002170 0000DC9C 0000DC9C,MaxApplZone MoreMasters MemError InitGraf InitFonts InitWindows InitMenus TEInit InitDialogs InitCursor CurResFile OpenResFile OpenResFile OpenResFile OpenResFile UseResFile GetCTable SetEntries GetCCursor SetCCursor
000002D4,00000388,180,0000DD08 0000D808 000040C4,NewCWindow SetPort ForeColor BackColor TextFont TextSize
00000388,00000880,1272,0000DC9C 0000DC9C 0000DC9C 0000DC9C 0000DD08 0000DC9C 0000DC9C 0000DC9C,UseResFile GetResource BlockMove ReleaseResource GetResource BlockMove ReleaseResource GetResource BlockMove ReleaseResource GetResource BlockMove ReleaseResource NewPtr GetResource SetRect HLock PtToAngle DebugStr HUnlock ReleaseResource GetResource SetRect HLock PtToAngle DebugStr HUnlock ReleaseResource GetResource HLock BlockMove BlockMove BlockMove HUnlock ReleaseResource
00000880,000015B0,3376,0000DC9C 0000DC9C 0000DA58 000057B0 00005514 000057B0 00005514 00002628 00002628 0000DC9C 0000DA58 00002628 00000388 0000DC9C 00002E7C 00005514 0000DC9C 0000DA58 000020E4 000015B0 000020E4 000015B0 000020E4 000015B0 000020E4 000015B0 000020E4 000015B0 000020E4 000015B0 000020E4 000015B0 000020E4 000015B0 000020E4 000015B0 000020E4 000015B0 000020E4 000015B0 000020E4 000015B0 000020E4 000015B0 000020E4 000015B0 000020E4 000015B0 000020E4 000015B0 000020E4 000015B0 000020E4 000015B0 000020E4 000015B0 000020E4 000015B0 000020E4 000015B0 000020E4 000015B0 000020E4 000015B0 000020E4 000015B0 000020E4 000015B0 000020E4 000015B0 000020E4 000015B0 000020E4 000015B0 000020E4 000015B0 000020E4 000015B0 0000DC9C 0001B8A4 000024FC 0001BB08 0001B150 0000DC9C 000015B0 000015B0 0000DC9C 0000DC9C 0000DC9C 0000DC9C 00002628,UseResFile GetResource GetResource GetPicture DrawPicture ReleaseResource HideCursor ShowCursor Delay EraseRect MaxMem GetPicture DrawPicture ReleaseResource UseResFile UseResFile GetResource ReleaseResource UseResFile Count1Resources SetRect Index2Color RGBForeColor FrameRect InsetRect Index2Color RGBForeColor PaintRect InsetRect Index2Color RGBForeColor GetResource DetachResource MoveHHi UseResFile GetDefaultOutputVolume CloseResFile ForeColor InsetRect EraseRect UseResFile GetResource GetResource GetResource GetResource UseResFile CloseResFile MaxMem
000015B0,00001614,100,,PaintRect
00001614,00001AFC,1256,0000DD08 0000DD08 0000DD08 0000DD08 0000DD08 0000DD08 0000DD08 0000DD08 0000DD08 0000DD08 0000DD08 0000DD08 0000DD08 0000DD08 0000DD08 0000DD08 0000DD08 0000DD08 0000DD08 0000DD08 0000DD08 0000DD08 0000DD08 0000DD08 0000DD08 0000DD08 0000DD08 0000DD08 0000DD08 0000DD08 0000DD08 0000DD08 0000DD08 0000DD08 0000DD08 0000DD08 0000DD08 0000DD08 0000DD08 0000DD08 0000DD08 0000DD08 0000DD08 0000DD08 0000DD08 0000DD08 0000DD08,NewPtr NewPtr NewPtr NewPtr NewPtr NewPtr NewPtrClear NewPtrClear NewPtr NewPtr NewPtr NewPtr NewPtr NewPtr NewPtr NewPtr NewPtr NewPtr NewPtr NewPtr NewPtr NewPtr NewPtr NewPtr NewPtr NewPtr NewPtr NewPtr NewPtr NewPtr NewPtr NewPtr NewPtr NewPtr NewPtr NewPtr NewPtr NewPtr NewPtr NewPtr NewPtrClear NewPtrClear NewPtrClear NewPtrClear NewPtrClear NewPtrClear NewPtrClear NewPtrClear
00001AFC,00001D50,596,00004134 000040C4 00001D50 0000609C 0000CB4C 000072F0 0000A7C4 00008BB4 00002628 00012754 00002D18 00002628 000040C4 0000D958 000040C4 000025DC 0001ACE0 0001AAA0 00003B40 00002628 0001BFE0,UseResFile UseResFile GetDateTime ShowCursor EventAvail HideCursor ShowCursor HideCursor ShowCursor HideCursor ShowCursor HideCursor ShowCursor HideCursor HideCursor HideWindow SetDefaultOutputVolume WaitNextEvent WaitNextEvent
00001D50,000020E4,916,0000DC9C 0000DA58 0000DC9C 00023850 00008968 0000DC9C 00023870 0000DBA8 00023748 00005514 00023870 00023748 00023748 00005514 00002E7C 00005514 00023748 00005514 00023870 000238D0 00005514,MaxMem CurResFile UseResFile GetPicture OffsetRect DrawPicture ReleaseResource GetResource ReleaseResource GetResource UseResFile p2cstr GetIndString GetIndString p2cstr GetIndString p2cstr ReleaseResource UseResFile
