compare_address,fourcc_hex,fourcc,handler_address
00011434,6D6F7468,moth,00011D94
00011448,626F6E75,bonu,00011D94
0001145C,62617365,base,00011D94
00011470,61737465,aste,00011EF4
00011484,616D6D6F,ammo,00011D94
00011498,626C6F6F,bloo,00011EF4
000114AC,62656521,bee!,00011EF4
000114C0,66697265,fire,00011D6C
000114D4,6578706C,expl,00012080
000114E8,65717569,equi,00011D94
000114FC,6D696E65,mine,00011D94
00011510,67616467,gadg,00011D94
00011524,7365656B,seek,00011EF4
00011538,72616964,raid,00011EF4
0001154C,6F736369,osci,00011D94
00011560,6D6F746F,moto,00011EF4
00011574,726F746F,roto,00011EF4
00011588,726F636B,rock,00011EF4
0001159C,73746F6E,ston,00011EF4
000115B0,73686F74,shot,00011D44
000115C4,73686970,ship,000115F8
000115D8,76656C6F,velo,00011D94
000115EC,73776172,swar,00011EF4
