compare_address,fourcc_hex,fourcc,handler_address
000149A4,6D6F7468,moth,00014C70
000149B8,626C6F6F,bloo,00015194
000149CC,62617365,base,00014B18
000149E0,61737465,aste,00015000
000149F4,616D6D6F,ammo,00014FF8
00014A08,62656521,bee!,000154A8
00014A1C,67616467,gadg,00014FF8
00014A30,65717569,equi,00014FF8
00014A44,626F6E75,bonu,00014FF8
00014A58,6D696E65,mine,00014FF8
00014A6C,726F746F,roto,00015BC8
00014A80,72616964,raid,00015724
00014A94,6F736369,osci,00014FF8
00014AA8,6D6F746F,moto,00015344
00014ABC,726F636B,rock,00015000
00014AD0,73776172,swar,00015008
00014AE4,73746F6E,ston,00015000
00014AF8,7365656B,seek,00015944
00014B0C,76656C6F,velo,00014FF8
