baseFrequency,command,commands,dataFormats,encode,format,headerOffset,id,loopEnd,loopStart,resource_bytes,sampleLength,sampleRateFixed,sampleRateHz,wav
60,0x8051,1,1,0,1,20,128,4407,4406,4450,4408,0x56ee8b9f,22254.54539489746,snd_128.wav
60,0x8051,1,1,0,1,20,129,9759,9758,9802,9760,0x56ee8b9f,22254.54539489746,snd_129.wav
60,0x8051,1,1,0,1,20,130,0,0,23522,23480,0x56ee8b9f,22254.54539489746,snd_130.wav
60,0x8051,1,1,0,1,20,131,0,0,6618,6576,0x56ee8ba3,22254.545455932617,snd_131.wav
60,0x8051,1,1,0,1,20,132,9405,9404,9448,9406,0x56ee8b9f,22254.54539489746,snd_132.wav
60,0x8051,1,1,0,1,20,133,0,0,10954,10912,0x56ee8ba3,22254.545455932617,snd_133.wav
60,0x8051,1,1,0,1,20,134,42215,42214,42258,42216,0x56ee8b9f,22254.54539489746,snd_134.wav
60,0x8051,1,1,0,1,20,135,7239,7238,7282,7240,0x56ee8b9f,22254.54539489746,snd_135.wav
60,0x8051,1,1,0,1,20,136,0,0,11895,11853,0x56ee8ba3,22254.545455932617,snd_136.wav
60,0x8051,1,1,0,1,20,137,10235,10234,10278,10236,0x56ee8b9f,22254.54539489746,snd_137.wav
60,0x8051,1,1,0,1,20,138,41333,41332,41376,41334,0x56ee8b9f,22254.54539489746,snd_138.wav
60,0x8051,1,1,0,1,20,139,0,0,99322,99280,0x56220000,22050.0,snd_139.wav
60,0x8051,1,1,0,1,20,140,5341,5340,5384,5342,0x56ee8b9f,22254.54539489746,snd_140.wav
64,0x8051,1,1,0,1,20,141,0,0,8490,8448,0x56ee8ba3,22254.545455932617,snd_141.wav
64,0x8051,1,1,0,1,20,142,0,0,12202,12160,0x56ee8ba3,22254.545455932617,snd_142.wav
60,0x8051,1,1,0,1,20,143,30299,30298,30342,30300,0x56ee8b9f,22254.54539489746,snd_143.wav
60,0x8051,1,1,0,1,20,144,9263,9262,9306,9264,0x56ee8b9f,22254.54539489746,snd_144.wav
60,0x8051,1,1,0,1,20,145,0,0,14826,14784,0x56ee8ba3,22254.545455932617,snd_145.wav
60,0x8051,1,1,0,1,20,146,12463,12462,12506,12464,0x56ee8b9f,22254.54539489746,snd_146.wav
60,0x8051,1,1,0,1,20,147,13631,13630,13674,13632,0x56ee8b9f,22254.54539489746,snd_147.wav
60,0x8051,1,1,0,1,20,148,0,0,9478,9436,0x56ee8b9f,22254.54539489746,snd_148.wav
60,0x8051,1,1,0,1,20,149,10053,10052,10096,10054,0x56ee8b9f,22254.54539489746,snd_149.wav
60,0x8051,1,1,0,1,20,150,5479,5478,5522,5480,0x56ee8b9f,22254.54539489746,snd_150.wav
60,0x8051,1,1,0,1,20,151,2451,2450,2494,2452,0x56ee8b9f,22254.54539489746,snd_151.wav
60,0x8051,1,1,0,1,20,152,6745,6744,6788,6746,0x56ee8b9f,22254.54539489746,snd_152.wav
60,0x8051,1,1,0,1,20,153,0,0,27710,27668,0x56ee8ba3,22254.545455932617,snd_153.wav
60,0x8051,1,1,0,1,20,154,6625,6624,6668,6626,0x56ee8b9f,22254.54539489746,snd_154.wav
60,0x8051,1,1,0,1,20,155,8723,8722,8766,8724,0x56ee8b9f,22254.54539489746,snd_155.wav
60,0x8051,1,1,0,1,20,156,23469,23468,23512,23470,0x56ee8b9f,22254.54539489746,snd_156.wav
60,0x8051,1,1,0,1,20,157,30101,30100,30144,30102,0x56ee8b9f,22254.54539489746,snd_157.wav
60,0x8051,1,1,0,1,20,158,17217,17216,17260,17218,0x56ee8b9f,22254.54539489746,snd_158.wav
64,0x8051,1,1,0,1,20,159,0,0,2922,2880,0x56ee8ba3,22254.545455932617,snd_159.wav
64,0x8051,1,1,0,1,20,160,0,0,38442,38400,0x56ee8ba3,22254.545455932617,snd_160.wav
64,0x8051,1,1,0,1,20,161,0,0,11052,11010,0x56ee8ba3,22254.545455932617,snd_161.wav
64,0x8051,1,1,0,1,20,162,0,0,4346,4304,0x56ee8ba3,22254.545455932617,snd_162.wav
60,0x8051,1,1,0,1,20,163,58367,58366,58410,58368,0x56ee8ba3,22254.545455932617,snd_163.wav
