id,side,area,mask_type,unused,resource_bytes,pixel_bytes,blitter_bytes,pixel_sha256,blitter_sha256,transparent_index_assumed
148,4,16,0,0,58,16,36,061757de4b3327deea2acab71cfc75b31bdfe63e50cd77ddb4ef3857fec07e4c,102b8334cf666108b9149270bb1c9b4628b8e43ea458967b83d4c3e1e4635881,0
149,4,16,0,0,58,16,36,e0fc9cbca01b06770c8d4b1c6eb2ff58f3cb5c0ca8fd49688a7c5c7e9430bd2d,102b8334cf666108b9149270bb1c9b4628b8e43ea458967b83d4c3e1e4635881,0
150,4,16,0,0,58,16,36,37c02721c1f9ddb9f43c27de22c068ea746084ea30f9f4275c109f49af9b9ef1,102b8334cf666108b9149270bb1c9b4628b8e43ea458967b83d4c3e1e4635881,0
151,4,16,0,0,58,16,36,bd6a4f07c6bc4a33d80fc879a0ecafb73e867759086793a1bdb56fc0dc9e7966,102b8334cf666108b9149270bb1c9b4628b8e43ea458967b83d4c3e1e4635881,0
152,4,16,0,0,58,16,36,7f40c2b0c0c0f3b18bd4da2d22421856de1c9a07757c51282891a6a99cf29911,102b8334cf666108b9149270bb1c9b4628b8e43ea458967b83d4c3e1e4635881,0
400,32,1024,0,0,1692,1024,662,56bee0d610d76209b30fa32cfde5b01df3f63a3331078280ec4178728b8ab4e2,d30105198def5e08ac6f09c1e5741fc0295b30d046b457c60d33adf0cf4ab6c9,0
401,32,1024,0,0,1716,1024,686,5135cf6c5892a49483ceb285bdc1499190c2f1eb12d4ccc5d9cf1b838d9a3ebc,354a3c46dfd816e2995fac974a891139e4403db0c3e066f6e7ab1b190837721e,0
402,32,1024,0,0,1692,1024,662,4c5f4399cb63097c554c02ffd87cc59962db94783d7c93d5b14f00bc77d90c95,89220966d61a26d9a96abcc7b39eee1ded669463027a30f6a0793e681ebb0568,0
403,32,1024,0,0,1704,1024,674,a4a17e4bb04c50b2b62cbfd440c8c46c1bdbe9c4769122db9688d203f0660d8f,9519023e5539342e5f7223e64d5f73a0d57202b5952237c2a3d16f3ba786b69e,0
404,32,1024,0,0,1698,1024,668,aa379ab09fcc81dc63d4afa494e509058641fe1e4f97e37c5eba44eebe09c2d5,a7eb9fa6bb72b1867c152a1384d51b86a6da3da5add11b52a074330c21527408,0
