mode,wave,moth_count,base_count,raid_count,seek_count,rotor_link_count,bloo_subtype_quota,mobile_moth_quota,bee_limit
professional,1,1,0,0,0,0,0,0,1
professional,2,2,0,0,0,0,0,0,1
professional,3,3,0,0,0,0,0,0,1
professional,4,2,1,0,0,0,0,0,1
professional,5,2,2,1,0,1,1,0,1
professional,6,4,0,1,1,1,1,0,2
professional,7,0,3,1,1,0,0,0,0
professional,8,4,2,2,1,2,1,0,2
professional,9,6,0,2,1,3,2,0,2
professional,10,5,1,2,1,2,0,1,2
professional,11,3,3,2,1,1,1,1,2
professional,12,3,3,3,2,3,1,2,2
professional,13,8,0,3,2,3,2,2,3
professional,14,3,3,3,2,3,3,2,3
professional,15,0,6,4,2,0,1,0,0
professional,16,0,7,4,3,0,2,0,0
professional,17,7,1,4,4,4,3,2,4
professional,18,1,7,5,4,1,2,1,6
beginner,1,1,0,0,0,0,0,0,1
beginner,2,2,0,0,0,0,0,0,1
beginner,3,3,0,0,0,0,0,0,1
beginner,4,4,0,0,0,0,0,0,1
beginner,5,5,0,1,0,0,1,0,1
beginner,6,4,1,1,0,1,1,0,2
beginner,7,4,1,1,1,0,0,0,2
beginner,8,4,1,2,1,2,1,0,2
beginner,9,5,0,1,1,2,1,0,2
beginner,10,5,1,2,1,2,0,0,2
beginner,11,4,2,2,1,1,1,0,2
beginner,12,4,2,2,2,2,1,0,2
beginner,13,6,0,2,2,2,2,0,2
beginner,14,6,1,2,2,3,2,0,2
beginner,15,5,2,3,2,0,1,1,3
beginner,16,7,0,3,2,0,2,1,3
beginner,17,7,1,3,3,2,3,1,3
beginner,18,5,3,4,4,1,2,1,4
